step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
22700,6.700920234,6.448268643,6.716742501,6.423282546,6.54895989,,,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
22725,6.876905536,6.58162713,6.547331173,6.60067401,6.679990728,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22750,6.83509608,6.618706672,6.714164617,6.771562975,6.661436313,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22775,7.177272641,6.575223339,6.618268957,6.848787826,6.630435864,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22800,7.24065096,6.658859843,6.672670955,6.902891779,6.756645569,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22825,7.068624285,6.780143264,6.473291282,6.709734744,6.557036364,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22850,7.016764193,6.479026373,6.434683999,6.734278685,6.576691246,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22875,6.989360419,6.876288193,6.571736981,6.737069941,6.586541344,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22900,7.098745293,6.72892606,6.635528576,6.732817152,6.74065704,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22925,7.185475595,6.813507418,6.628746382,6.619549555,6.693155451,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22950,6.852935684,6.978598361,6.580890303,6.48026607,6.539080405,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22975,6.953214117,6.687018765,6.5885965,6.294346529,6.536976241,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23000,6.938778969,6.532030696,6.48059392,6.313174947,6.326099576,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23025,6.690339875,6.484183253,6.244243308,6.232693288,6.452404792,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23050,6.591870374,6.687394471,6.275582051,6.254756935,6.444472161,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23075,6.947321828,6.398859995,6.343305126,6.110877895,6.327162337,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23100,7.005797622,6.488704809,6.409861309,6.226328419,6.40603791,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23125,6.694374963,6.606582071,6.52457802,6.261783994,6.453874568,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23150,6.855215715,6.755282957,6.602638591,6.390642047,6.334142186,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23175,6.877217534,6.618865174,6.490932384,6.414158483,6.371531782,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23200,6.73482425,6.401241951,6.483034799,6.30868128,6.357890489,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23225,6.661505075,6.432146418,6.640051437,6.550409635,6.324351651,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
23250,6.968738797,6.566601673,6.683299955,6.45348133,6.463071449,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23275,6.887254715,6.594620952,6.694084954,6.489202857,6.580664965,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23300,6.647335147,6.569424602,6.399518207,6.448708678,6.655024236,,,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,TRUE
23325,6.790377483,6.587104126,6.470014562,6.449741289,6.615136245,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23350,6.929360534,6.470553091,6.521592018,6.61767662,6.631956365,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23375,6.771793815,6.64407485,6.449729293,6.463358539,6.433870876,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23400,6.498511122,6.50195173,6.559766695,6.401782927,6.44096124,,,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
23425,6.596881011,6.309389924,6.408051161,6.478299259,6.318235576,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
23450,6.554001329,6.430252197,6.357579968,6.453302391,6.264283596,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23475,6.406894245,6.149878807,6.396607765,6.118922978,6.22064356,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23500,6.6004051,6.17052694,6.186216681,6.215640879,6.311036243,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23525,6.552723686,6.237613461,6.527201603,6.455047735,6.220769769,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
23550,6.609124311,6.361670161,6.497390608,6.451626211,6.079019803,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
23575,6.534909868,6.240728881,6.216901399,6.366733866,6.168530424,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23600,6.674062729,6.2538876,6.309744425,6.144840319,6.403538283,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23625,6.729001405,6.26898936,6.331478869,6.18910603,6.371239012,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23650,6.665114343,6.304947467,6.258656812,6.186032501,6.294671563,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23675,6.540723514,6.528075945,6.445929313,6.189506018,6.283184552,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23700,6.441511076,6.378793543,6.274512357,6.158127158,6.281472965,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23725,6.558313942,6.348765702,6.260168177,6.23559425,6.244387281,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23750,6.654882533,6.40066636,6.434879411,6.288291368,6.093098202,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
23775,6.63042215,6.287923984,6.442785245,6.074334477,6.168026005,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23800,6.595610482,6.46076413,6.124881461,6.253659872,6.319599136,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23825,6.391276255,6.146284844,6.206173882,6.148180102,6.038181466,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
