step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,99.30555556,572,99.13194444,571,99.82638889,575,99.82638889,575,5.729166667,33,40.45138889,233
23025,21045,45565,41400,57255,50135,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23050,21180,40955,38000,55270,48735,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23075,21770,41695,39170,58155,51115,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23100,22210,45165,40110,60275,51760,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23125,23795,42320,39895,60345,50275,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23150,23980,43200,38885,57025,51965,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23175,24750,46140,39630,52605,54130,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23200,25465,49965,43055,52275,52905,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23225,25250,49090,44560,46010,54330,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23250,24855,50515,43220,46230,53165,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23275,25330,55210,45335,47715,51685,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23300,26400,51545,46905,48740,52680,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23325,26125,53495,49705,50800,52220,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23350,26370,59165,53630,47620,51825,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23375,26620,54760,58885,47585,52885,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23400,27690,54700,57230,46555,50660,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23425,27175,60390,62475,47130,51680,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23450,25990,58005,60425,44265,54245,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23475,26340,62075,65235,45110,53965,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23500,25935,60115,60390,48575,52625,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23525,27040,61265,58195,49730,53640,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23550,27110,59185,61275,48820,57985,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23575,27535,59780,60200,51775,59100,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23600,27490,57780,55175,54000,58900,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23625,28575,56850,54340,54470,59620,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23650,29520,59560,57115,57420,58315,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23675,30205,58425,55735,60615,62660,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23700,30560,59795,58765,60400,62940,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23725,32390,61405,59105,63965,63980,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23750,34175,60370,60735,61125,65110,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23775,33155,60175,60490,62305,66785,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
23800,33610,63320,57515,62220,63440,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23825,35355,66135,59010,64245,62635,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23850,36700,68125,60665,64060,63525,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23875,34355,68450,64505,66585,61040,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23900,33725,72175,69115,67405,62965,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23925,35175,75430,71705,66935,63130,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23950,34420,75645,70460,66445,64090,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23975,33345,76925,68605,66395,67740,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24000,34290,76410,68410,63565,66415,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24025,35575,71875,67265,61615,70400,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24050,33245,76620,69215,63520,69615,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24075,33080,77455,70145,62120,72020,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24100,33080,75095,64780,62760,70730,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24125,31735,74765,69045,64220,71935,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24150,33130,75315,67390,66700,63540,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24175,34845,76410,67570,68220,60600,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24200,35335,74035,68535,69535,60140,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24225,36705,78100,67435,70745,56645,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24250,37180,79120,67475,65790,55370,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24275,37895,79680,67395,69290,52905,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24300,39595,77720,68625,66805,56595,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24325,39620,77970,68070,68065,55145,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24350,40065,80810,71420,69385,55550,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24375,41235,83455,72230,71710,56735,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24400,42435,76525,65245,77045,59865,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24425,43255,78270,69920,76300,59675,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24450,45935,80530,71800,72080,64105,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24475,46845,79530,66905,70255,65600,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24500,46860,77745,68630,69960,68905,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24525,48210,82360,72475,71240,72460,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24550,48365,79670,67370,67235,74095,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24575,47970,82585,70125,60135,72540,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24600,45405,86620,71465,62190,73395,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24625,46130,86760,73990,61790,74265,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24650,47580,92675,70565,60115,77005,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24675,46580,96405,74635,61145,73835,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24700,47870,105025,77130,56585,75585,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
