step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
22925,48393927.49,47662803.61,47276348.44,46600933.57,47528795.64,,,,FALSE,,FALSE,,FALSE,,FALSE
22950,45871525.07,46766439.23,46938044.35,46775680.6,48010900.66,,,,TRUE,,TRUE,,TRUE,,TRUE
22975,45561418.58,46692619.03,47117793.76,46086733,46031962.06,,,,TRUE,,TRUE,,TRUE,,TRUE
23000,46060872.17,46980369.22,47185730.29,44999971.57,45634040.06,,,,TRUE,,TRUE,,FALSE,,FALSE
23025,44344434.45,45125226,45713899.15,47706682.17,48460742.25,,,,TRUE,,TRUE,,TRUE,,TRUE
23050,44858861.72,47145604.07,44898194.34,46685312.16,46783856.35,,,,TRUE,,TRUE,,TRUE,,TRUE
23075,46614235.19,45663372.48,45477190.78,45655920.41,46144438.22,,,,FALSE,,FALSE,,FALSE,,FALSE
23100,46748255.74,45904108.16,47149362.47,45967817.89,47826650.36,,,,FALSE,,TRUE,,FALSE,,TRUE
23125,44866382.24,46699407.73,47296884.39,44367687.29,46342854.79,,,,TRUE,,TRUE,,FALSE,,TRUE
23150,44936931.71,47499937.01,47612121.2,46360159.1,47068244.27,,,,TRUE,,TRUE,,TRUE,,TRUE
23175,45285239.12,46617020.6,47928918.08,46086413.65,46992011.39,,,,TRUE,,TRUE,,TRUE,,TRUE
23200,46303804.71,46484798.33,48248155.1,48652019.8,47370484.01,,,,TRUE,,TRUE,,TRUE,,TRUE
23225,45882277.75,46171502.94,46720852.25,47392093.36,47002240.94,,,,TRUE,,TRUE,,TRUE,,TRUE
23250,45912304.78,48032265.67,48294810.28,48741420.88,47052549.79,,,,TRUE,,TRUE,,TRUE,,TRUE
23275,45848680.85,48035084.36,47783804.84,48734644.03,48387326.03,,,,TRUE,,TRUE,,TRUE,,TRUE
23300,44494485.58,47218590.65,46688100.01,47313272.7,48446743.08,,,,TRUE,,TRUE,,TRUE,,TRUE
23325,46107289.53,48512248.77,47939785.62,48402789.27,48032564.18,,,,TRUE,,TRUE,,TRUE,,TRUE
23350,48546620.96,47797026.26,46188615.23,50037801.69,48960674.75,,,,FALSE,,FALSE,,TRUE,,TRUE
23375,46165862,47425994.32,46801787.4,47782338.39,48345703.64,,,,TRUE,,TRUE,,TRUE,,TRUE
23400,43533327.21,47427915.27,47957883.07,45161695.38,49278313.33,,,,TRUE,,TRUE,,TRUE,,TRUE
23425,44180696.47,46600200.91,45534111.25,45736475.18,45759486.61,,,,TRUE,,TRUE,,TRUE,,TRUE
23450,41953779.93,45562473.94,45803833.93,46494916.81,45940907.16,,,,TRUE,,TRUE,,TRUE,,TRUE
