step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1863241632_stopped,1863241632_accumulated_waiting_time,1863241632_average_speed,2330725114_stopped,2330725114_accumulated_waiting_time,2330725114_average_speed,243351999_stopped,243351999_accumulated_waiting_time,243351999_average_speed,243641585_stopped,243641585_accumulated_waiting_time,243641585_average_speed,243749571_stopped,243749571_accumulated_waiting_time,243749571_average_speed,30503246_stopped,30503246_accumulated_waiting_time,30503246_average_speed,30624898_stopped,30624898_accumulated_waiting_time,30624898_average_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,89127267_stopped,89127267_accumulated_waiting_time,89127267_average_speed,89173763_stopped,89173763_accumulated_waiting_time,89173763_average_speed,89173808_stopped,89173808_accumulated_waiting_time,89173808_average_speed,cluster_1427494838_273472399_stopped,cluster_1427494838_273472399_accumulated_waiting_time,cluster_1427494838_273472399_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_1863241547_1863241548_1976170214_stopped,cluster_1863241547_1863241548_1976170214_accumulated_waiting_time,cluster_1863241547_1863241548_1976170214_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ208_stopped,gneJ208_accumulated_waiting_time,gneJ208_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ255_stopped,gneJ255_accumulated_waiting_time,gneJ255_average_speed,gneJ257_stopped,gneJ257_accumulated_waiting_time,gneJ257_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57655.0,11,258.0,5.48936170212766,7.79686087891262,0,0.0,1.0,0,0.0,0.9516985110115869,0,0.0,1.0,0,0.0,1.0,0,0.0,0.992090758660079,0,0.0,1.0,0,0.0,0.8436279193090629,0,0.0,1.0,0,0.0,1.0,0,0.0,0.767619818998633,0,0.0,1.0,2,68.0,0.0,0,0.0,1.0,0,0.0,1.0,1,19.0,0.0,6,155.0,0.0668440379218293,0,10.0,0.4896741895540008,0,0.0,0.17670137432774016,0,0.0,0.9736137216080657,0,0.0,1.0,0,0.0,1.0,9,252.0
57660.0,15,311.0,5.7592592592592595,6.645507511636452,0,0.0,1.0,0,0.0,0.5217547667110077,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9709783096092549,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.00012549094845779377,0,0.0,1.0,2,78.0,0.0,0,0.0,1.0,0,0.0,1.0,1,24.0,0.0,6,173.0,0.0418970245171901,0,0.0,0.9147285866228541,1,4.0,0.1970734423779093,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,11,280.0
57665.0,16,368.0,5.935483870967742,6.337834893132677,0,0.0,1.0,0,0.0,0.6994822808057061,0,0.0,1.0,0,0.0,1.0,0,0.0,0.39945534680934847,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,2,88.0,0.0,0,0.0,1.0,0,0.0,1.0,1,29.0,0.0,7,204.0,0.002301329994762553,0,0.0,0.9402532682499777,0,0.0,0.12023162480729876,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,11,327.0
57670.0,21,447.0,6.6716417910447765,6.848119465722706,0,0.0,1.0,0,0.0,0.9201931854678855,0,0.0,0.9407437148584671,0,0.0,1.0,1,1.0,0.6296809871797656,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.610450231074985,0,0.0,1.0,2,98.0,0.0,0,0.0,1.0,0,0.0,1.0,1,34.0,0.0,7,244.0,0.05411879290407456,0,0.0,1.0,0,0.0,0.34253132642967055,0,0.0,1.0,0,0.0,0.04638259894576083,0,0.0,1.0,12,388.0
57675.0,28,565.0,7.635135135135135,6.714777753335815,0,0.0,1.0,0,0.0,0.927384507182867,0,0.0,1.0,0,0.0,1.0,1,8.0,0.7382194757325574,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,16.0,0.1686068064313617,0,0.0,1.0,2,108.0,0.0,0,0.0,1.0,0,0.0,1.0,1,39.0,0.0,9,286.0,3.2436945594981242e-06,0,0.0,1.0,0,0.0,0.05350911952328332,0,0.0,1.0,1,5.0,0.0,0,0.0,1.0,15,462.0
57680.0,28,643.0,7.841463414634147,6.094389243923525,0,0.0,1.0,0,0.0,0.08981912145978621,0,0.0,1.0,0,0.0,1.0,3,14.0,0.46896152617845466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,26.0,0.24054495633905085,0,0.0,1.0,2,118.0,0.0,0,0.0,1.0,0,0.0,1.0,1,44.0,0.0,10,339.0,0.0006718379215187713,0,0.0,1.0,1,3.0,0.01740497302020807,0,0.0,0.5729624245952222,0,0.0,1.0,0,0.0,1.0,20,544.0
57685.0,24,473.0,5.2555555555555555,6.3464482590759514,0,0.0,1.0,1,0.0,0.3439631529934594,0,0.0,1.0,0,0.0,1.0,3,25.0,0.3238729540139427,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,41.0,0.19743854785499373,0,0.0,1.0,2,128.0,0.0,0,0.0,1.0,0,0.0,0.22661662590316697,1,49.0,0.0,1,241.0,0.13705626468703885,0,0.0,1.0,1,4.0,0.48726044274375496,1,3.0,0.006943751626102165,0,0.0,1.0,0,0.0,1.0,13,491.0
57690.0,22,321.0,3.3789473684210525,7.174101492006261,0,0.0,1.0,1,0.0,0.5700059786063806,0,0.0,1.0,0,0.0,1.0,5,44.0,0.23379861175893582,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4683836778160471,0,0.0,1.0,4,57.0,0.0009737831710544013,0,0.0,1.0,2,138.0,0.0,0,0.0,1.0,1,4.0,7.433835793005592e-06,0,0.0,1.0,0,174.0,0.24752274975505228,0,4.0,0.7640658610027828,1,9.0,0.0,0,3.0,0.16888876234492095,0,0.0,0.64387262545962,0,0.0,1.0,14,433.0
57695.0,21,395.0,3.98989898989899,6.909091433938144,0,0.0,1.0,0,0.0,0.7081256814210852,0,0.0,1.0,0,0.0,1.0,6,76.0,0.1875922489996359,0,0.0,1.0,0,0.0,1.0,1,2.0,7.208610243300577e-06,0,0.0,0.4814619275854267,4,77.0,0.30570824127937307,0,0.0,1.0,2,148.0,0.0,0,0.0,1.0,2,12.0,1.8847005761075774e-05,0,0.0,1.0,0,86.0,0.20411699486165996,0,9.0,0.637618769332772,1,14.0,0.0,0,0.0,1.0,1,2.0,0.0011129131406184486,0,0.0,1.0,17,426.0
57700.0,27,515.0,4.951923076923077,6.555365710930475,0,0.0,1.0,1,1.0,0.6092546521463204,0,0.0,1.0,0,0.0,1.0,8,115.0,0.2912130168138593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,97.0,0.16990050573973708,0,0.0,1.0,2,158.0,0.0,0,0.0,1.0,2,22.0,0.0,0,0.0,1.0,3,91.0,0.08270995058748166,0,7.0,0.7033079803484982,1,19.0,0.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,22,517.0
